,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                NGPL (Mb/d),,,,,,,,,,,,63.42349727,63,68.52054795,72.86575342,69.34699454,66.39178082,65.91506849,64.02465753,66.93989071,66.16712329,69.16385205,65.57449315,70.43222678,80.31976712,80.02156164,81.88519726,80.21829781,81.00475068,86.39851781,87.74229041,85.89770492,89.32056986,89.1316274,80.91521644,72.83606557,76.97534247,70.76986301,61.35342466,59.91803279,57.8630137,58.41917808,48.85479452,55.1557377,51.62739726,58.60273973,91.92876712,102.2568306,102.3643836,102.0438356,105.1424658,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.504109589,3,3,0.6,1,2.1,3.4,5.2,6,7,8,7,7,6.548,4.964,4.653,5,5,4.653,4.653,4.653,4.653,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,31.158,32,33,35,36,35,36,35.49268033,36.25712877,36.77375616,35.82667945,35.8,34.709,34.189,35.834,33.9312,30.187,29.6169,28.612,27.3556,25.8305,22.9024,18.7384,17.1642,17.4394,17.4359,17.6834,17.0702,18.66926635,18.40982491,18.84320405,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,30,28,29,28,27,25,25,24,27,27,27,30,27,22.65205479,22.1561863,21.24657534,20.50831694,19.40547945,19.74794521,19.16712329,19.68142077,20.83013699,21.72054795,20.40547945,26.38026776,25.38070411,26.1953589,28.04171233,27.71430164,27.5462,35.62571781,36.10133425,36.15533552,26.98200411,30.84496301,31.57499041,29.36100219,27.18664932,26.92270411,26.44211507,24.46700437,24.90202726,23.94635507,23.10377275,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,29,26,27,26,25,23,23,22,24,24,23,27,24,22.65205479,22.1561863,21.24657534,20.50831694,19.40547945,19.74794521,19.16712329,19.68142077,20.83013699,21.72054795,20.40547945,22.09726776,20.87670411,21.7313589,23.27671233,22.74590164,23.4,31.96691781,32.18353425,32.52453552,23.54090411,27.10186301,27.93989041,25.70920219,23.43344932,22.51850411,21.78891507,20.06840437,20.09138082,19.20256438,18.24167397,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,23,22.16712329,22,20.50136986,22.83879781,22.66027397,22.40821918,24.7369863,22.83333333,21.65205479,21.0739726,20.24657534,19.59301639,18.40547945,18.74794521,18.16712329,18.61584699,18.91506849,18.6109589,17.57534247,17.99726776,16.4958411,16.53406849,16.45744384,16.08196721,16.31780822,16.74520548,17.66027397,16.91530055,16.15890411,17.16986301,16.49589041,15.16120219,14.18344932,13.26850411,12.53891507,10.81840437,10.84138082,9.952564384,8.991673973,
                NGPL (Mb/d),,,,,,,,,,,,1,0.419178082,0.665753425,0.663013699,1,1.334246575,0.994520548,1.164383562,1.076502732,1,1,1,0.915300546,1,1,1,1.06557377,1.915068493,3.109589041,2.830136986,3,2.780863014,2.797290411,4.31789863,4,3.915068493,4.076712329,3.997260274,4.079234973,1,1,1,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,0.076712329,,,,,0.082191781,,,,0.082213699,,,,,,,,,,1.1,1.6,2.4,2.501369863,2.663934426,3.167123288,11.145,10.526,11.53,6.382,8.932,10.444,10.548,9.25,9.25,9.25,9.25,9.25,9.25,9.25,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,3.61,4.3,4.1,4.2,4.3,4.3,4.2,4.346918033,4.216839726,4.736341096,4.393469863,4.283,4.504,4.464,4.765,4.9684,4.1462,3.6588,3.9178,3.6308,3.4411,3.7431,3.6351,3.6518,3.7532,4.4042,4.6532,4.3986,4.810646442,4.743790689,4.862098781,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,222,218,183.7271479,186.2261342,182.5106393,182.4722658,232.3734521,277.0986932,282.2218169,301.1632055,308.8570575,311.5737151,313.6141175,449.9732767,651.3522849,865.3989973,874.6622415,1011.979075,1040.858797,989.0781205,927.6480339,876.5573205,852.7142041,854.1325726,839.0564514,794.8208502,795.0061214,773.2083641,700.3683323,716.7350728,672.7760816,623.1671597,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,222,218,183.7271479,186.2261342,182.5106393,182.4722658,232.3734521,277.0986932,282.2218169,301.1632055,308.8570575,311.5737151,311.4061175,448.7402767,650.2922849,863.1629973,870.5628415,1006.846575,1035.627397,983.9945205,922.7486339,871.5945205,847.7589041,849.4739726,834.5382514,790.1152502,790.2445214,768.3791641,695.8033323,711.7424213,667.8528322,618.1221473,
                Crude oil including lease condensate (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,213,209,182.7271479,185.2261342,181.5106393,181.4722658,231.3734521,276.0986932,281.2218169,300.1632055,307.8570575,310.5737151,310.4061175,447.7402767,649.2922849,862.1629973,869.5628415,1005.846575,1034.627397,982.9945205,921.7486339,870.5945205,846.7589041,848.4739726,833.5382514,789.2125384,789.3534562,767.4751,694.8192987,710.7583877,666.8687986,617.1381137,
                NGPL (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.902711781,0.891065205,0.90406411,0.984033607,0.984033607,0.984033607,0.984033607,
                Other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,-1.5,-0.8,-1.5,-1.6,,-0.3,0.6,2.543494471,1.695214623,1.56091219,1.419968269,2.208,1.233,1.06,2.236,4.0994,5.1325,5.2314,5.0836,4.8994,4.9628,4.9553,4.6586,4.5182,4.7056,4.7616,4.8292,4.565,4.99265155,4.92324933,5.045012435,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),69.67671233,66.40821918,61.40273973,60.25136612,55.98630137,51.32328767,49.08493151,48.24590164,46.08219178,43.90410959,42,41.07923497,42.43561644,43.92328767,42.42739726,43.58743169,42.40821918,42.0022,38.00305205,36.7431694,54,193.471,195.471,195.413,199.413,200.633,193.968,197.59,193.358,195.865,199.556,202.007,200.818,197.425,197.383,196.1829,195.5421,193.7077055,202.1414493,185.4937301,210.5174603,216.1996466,216.2019781,215.4983891,213.0229233,211.0910521,211.2315603,184.5248475,188.5446485,201.7772175,192.6722959,
"            Crude oil, NGPL, and other liquids (Mb/d)",69.67671233,66.40821918,61.40273973,60.25136612,55.98630137,51.32328767,49.08493151,48.24590164,46.08219178,43.90410959,42,41.07923497,42.43561644,43.92328767,42.42739726,43.58743169,42.40821918,42.0022,38.00305205,36.7431694,54,193.471,195.471,195.413,199.413,200.633,193.968,197.59,193.358,195.865,199.556,199.401,198.293,194.572,194.948,193.691,193.219,190.7452055,200.1068493,182.9315301,208.1972603,213.3342466,213.1887781,212.5759891,209.9793233,208.0112521,208.1080603,181.5721475,185.3153452,198.5927973,189.4129123,
                Crude oil including lease condensate (Mb/d),69.67671233,66.40821918,61.40273973,60.25136612,55.98630137,51.32328767,49.08493151,48.24590164,46.08219178,43.90410959,42,41.07923497,42.43561644,43.92328767,42.42739726,43.58743169,42.40821918,41.75616438,37.83835616,41,41,180,182,183,187,189,182.425,186.62,182.418,184.805,188.676,187.86,186.57,183.301,184.28,182.691,182.219,181.7452055,190.1068493,171.9315301,198.1972603,202.3342466,202.1887781,201.5759891,199.9793233,197.0112521,197.1187808,170.821418,174.8828603,188.4689616,179.5886384,
                NGPL (Mb/d),,,,,,,,,,,,9,8,8,9,9,9,10,12,14,13,13.471,13.471,12.413,12.413,11.633,11.543,10.97,10.94,11.06,10.88,11.541,11.723,11.271,10.668,11,11,9,10,11,10,11,11,11,10,11,10.98927945,10.75072951,10.43248493,10.12383562,9.824273973,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,1.8,1.2,2,1.4,2.1,1.6,1.2,1.405009625,1.954580375,2.135913315,1.957591726,2.606,2.525,2.853,2.435,2.4919,2.3231,2.9625,2.0346,2.5622,2.3202,2.8654,3.0132,2.9224,3.0436,3.0798,3.1235,2.9527,3.22930325,3.184420218,3.259383524,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0.2,0.4,0.7,0.7,0.6,0.8,0.7,1,0.9,1,3,3,3,3,2.495890411,2,3.591780822,4,4,6,6,6.746,9.56,9.533,8.524,6.386566667,5.6188,5.091,5.088,4.852066667,4.1659,4.1431,4.1263,4.1286,14.9256,14.9247,13.9236,13.73167432,13.4058354,13.09672023,12.79391041,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0.2,0.4,0.7,0.8,0.8,0.8,0.7,1,0.9,1.1,3,3,3,3,2.495890411,2,3.591780822,4,4,6,6,6.2,9,9,8,5.866666667,5.2,5.2,5.2,4.866666667,4.2,4.2,4.2,4.2,15,15,14,13.80387432,13.4848137,13.1745863,12.87360548,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,2,3,3,3,3,3,3,3,3,3,3,3,2.495890411,2,3.591780822,4,4,6,6,6,6,6,6,5.666666667,5,5,5,4.666666667,4,4,4,4,3,3,3,3,3,3,3,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,3,2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,12,12,11,10.80387432,10.4848137,10.1745863,9.873605479,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0,,,-0.1,0.4,0.5,0.4,0.511034029,0.520671456,0.524691791,0.612831129,0.546,0.56,0.533,0.524,0.5199,0.4188,-0.109,-0.112,-0.0146,-0.0341,-0.0569,-0.0737,-0.0714,-0.0744,-0.0753,-0.0764,-0.0722,-0.078978296,-0.077866068,-0.079695069,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,1,1,2,2,1.9,1.2,1.2,1,1.1,1,1.2,1,1,1,1,1,1,1,1,1,1.071309589,1.013846575,1.002,1,1,1,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1,1,0.640857534,1.001,1.001,1.001,0.533520548,0.507443836,1.507849315,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,1,1,2,2,2,1.4,1.3,1.1,1.2,1.2,1.4,1,1,1,1,1,1,1,1,1,1.071309589,1.013846575,1,1,1,1,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1,1,0.640857534,1.001,1.001,1.001,0.533520548,0.507443836,1.507849315,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1.071309589,1.013846575,1,1,1,1,1,1,1,1,1,1,1,1,1,0.640857534,1,1,1,0.532520548,0.506443836,1,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0.001,0.001,0.001,0.001,0.001,0.507849315,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,-0.1,-0.1,-0.2,0.2,,,,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,42,40,40,39,36.82993443,36.11455068,36.4997589,37.11616438,36.919,37.04,36.92,36.4,34.679,35.855,36.202,36.211,35.29208,32.257,31.9088,30.71735,30.226,31.1301,32.6124,26.39953151,32.95926667,32.17502466,33.87394247,34.25597671,34.58867869,34.1826539,31.96692342,29.81420293,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,40,40,40,39,36.82993443,36.11455068,36.4997589,37.11616438,36.919,37.04,36.92,36.4,35.981,35.7,35.6,35.2,35.2,33.5,30.76,30.62,30.66,30.52,30.56,26.46393151,33.02166667,32.24002466,33.93974247,34.32267671,34.65177869,34.25164658,32.03497534,29.88397808,
                Crude oil including lease condensate (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,39,40,40,39,36.82993443,36.11455068,36.4997589,37.11616438,36.919,37.04,36.92,36.4,35.981,35.7,35.6,35.2,35,33,30,30,30,30,30,26.08493151,32.66666667,31.96102466,33.66074247,34.04367671,34.37277869,33.97264658,31.75597534,29.60497808,
                NGPL (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,0,0,0,0,0.2,0.5,0.76,0.62,0.66,0.52,0.56,0.379,0.355,0.279,0.279,0.279,0.279,0.279,0.279,0.279,
            Refinery processing gain (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,-5.2,-3.4,-4.4,-3.3,-2.8,-2.5,-2.7,-2.312086398,-1.62800095,-3.037628251,-2.068714256,-1.302,0.155,0.602,1.011,0.09208,-1.243,1.1488,0.09735,-0.434,0.6101,2.0524,-0.0644,-0.0624,-0.065,-0.0658,-0.0667,-0.0631,-0.068992675,-0.068051924,-0.06977515,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,8,8,9,10,11,11,6.1,5.6,8.2,11,11,9.1,10,,,,,,,,,,,,10.688,8.691,11.914,11.224,10.7599,10.9045,21.1237,20.0665,20.2646,20.984,25.5009,21.057,19.9088,19.6025,18.8857,24.3528,23.6427,24.79236143,24.60582958,24.93928079,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0.02,0.49,0,0,0,10.34,11.452,10.873,10.956,14.563,9.633,9.47,11.37,11.37,11.37,11.37,11.37,11.37,11.37,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.02,0.49,0,0,0,10.34,11.452,10.873,10.956,14.563,9.633,9.47,11.37,11.37,11.37,11.37,11.37,11.37,11.37,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,9.795,13,12,11,11,11,12,10.21811749,12.3046,13.06085206,11.06034795,10.688,8.671,11.424,11.224,10.7599,10.9045,10.7837,8.6145,9.3916,10.028,10.9379,11.424,10.4388,8.2325,7.5157,12.9828,12.2727,13.42236143,13.23582958,13.56928079,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,2.257309589,2.99979726,3.510663934,3.98950137,4.146978082,3.853449315,2.814051913,2.170838356,1.760041096,1.708493151,1.7,0.989662411,0.825957397,0.970350599,1.7,0,0,0.7871234,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,2.257309589,2.99979726,3.510663934,3.98950137,4.146978082,3.853449315,2.814051913,2.170838356,1.760041096,1.708493151,1.7,0.989662411,0.825957397,0.970350599,1.7,0,0,0.7871234,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.257309589,2.99979726,3.510663934,3.98950137,4.146978082,3.853449315,2.814051913,2.170838356,1.760041096,1.708493151,1.7,0.989662411,0.825957397,0.970350599,1.7,0,0,0.7871234,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,4,7,8,8,7,5,4,4,4,5.6,4,3,2,1,1,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,4,7,8,8,7,5,4,4,4,5.6,4,3,2,1,1,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,5,7,7,6,4,3,4,4,4,4,3,2,1,1,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,32,26,30,28,27,26,23,24,24,25,26,26,28,25.91506849,33,38,42,41,47,40,38.83107104,43.93034247,44.88394521,47.39079452,56.51426776,51.05228493,63.43208493,64.53701918,51.49911749,45.85590137,47.76684247,49.14199726,57.39386776,64.97111507,68.77626027,73.60934658,77.42940984,78.17478123,56.89210323,52.1234829,48.59407146,65.40553047,61.98388888,57.62912437,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,32,26,30,28,27,26,23,23,24,25,26,26,28,25.91506849,33,38,42,41,47,40,38.83107104,43.93034247,44.88394521,47.39079452,55.18826776,49.73828493,61.77208493,63.17101918,50.13811749,45.18970137,47.16994247,48.58079726,56.60126776,64.17651507,67.97966027,72.74164658,76.58790984,78.17478123,56.89210323,52.1234829,48.59407146,65.40553047,61.98388888,57.62912437,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,21,20,18,19,19,19.92876712,21.01369863,22,21,20.91506849,28,31,35,33,38,32,31.41507104,35.79434247,36.74794521,39.25479452,45.99726776,42.23828493,40.77208493,41.17101918,38.87657377,33.78010959,34.54167123,35.50830137,41.56718579,47.49224658,51.09890411,55.60512329,59.44435792,43.07478123,40.15610597,35.54504729,32.15998403,31.33753047,27.91588888,23.56112437,
                NGPL (Mb/d),,,,,,,,,,,,4,4,4,4,4,4,5,5,5,5,5,7,7,8,9,8,7.416,8.136,8.136,8.136,9.191,7.5,21,22,11.26154372,11.40959178,12.62827123,13.07249589,14.28008197,15.61426849,15.38075616,15.10552329,14.95555191,33,14.65699726,14.51043562,14.36608743,32,32,32,
                Other liquids (Mb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.754,1.07,1.5,2.031,2.188,2.1,2.079,2.068,2.068,2.068,2.068,2.068,
            Refinery processing gain (Mb/d),,,,,,,,,,,,,,,,,,,,,0.9,1.3,1.1,1,1,1.1,1.1,1.04165139,0.986266533,1.019884763,1.207956404,1.326,1.314,1.66,1.366,1.361,0.6662,0.5969,0.5612,0.7926,0.7946,0.7966,0.8677,0.8415,0,0,0,0,0,0,0,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,0,,,,,,,,,,,,0,0,-0.073,-0.059,-0.093,-0.0813,-0.0127,0.05727,0.1061,0.2,0.1707,0.1923,0.1865,0.1942,0.1966,0.1993,0.1884,0.206053623,0.203185142,0.208170287,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.073,-0.059,-0.093,-0.0813,-0.0127,0.05727,0.1061,0.2,0.1707,0.1923,0.1865,0.1942,0.1966,0.1993,0.1884,0.206053623,0.203185142,0.208170287,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
