,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,0,0,0,0,-0.0682256,0.03857667,-0.02753029,,,,,,,,,,,,2.356,2.351,2.235,2.477,2.3643,2.4322,2.3885,2.3087,0.5505,0,0,0,0,0,0,0,0,0,0,0,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,--,--,--,--,--,--,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Crude oil including lease condensate (Mb/d),,,,,,,,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                NGPL (Mb/d),,,,,,,,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
                Other liquids (Mb/d),,,,,,,,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
            Refinery processing gain (Mb/d),,,,,,,,--,--,--,--,--,--,,,,,,,,-0.028,0,0,0,0,0,0,2.356055727,2.362510674,2.362510674,2.362510674,2.356,2.351,2.235,2.477,2.3643,2.4322,2.3885,2.3087,0.5505,0,0,0,0,0,0,0,0,0,0,0,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,460,474,444,489,571,665,606,639,633,583,666,635,619,562.030137,605.2970822,579.9139781,605.4851694,650.1591808,626.0693014,616.762,802.4461475,738.7729151,717.1461096,618.1622192,573.1585874,543.5200767,560.6968219,567.5261205,569.467812,576.0445342,584.9621055,508.2969315,500.6534142,425.2743356,441.6777425,396.4672219,367.0325716,336.9518434,364.669462,475.3095396,475.1731504,460.1342705,436.041357,408.302001,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,440,454,422,468,546,640,580,612,605,555,638,606,591,562.030137,605.2970822,579.9139781,605.4851694,650.1591808,626.0693014,616.762,802.4461475,738.7729151,717.1461096,618.1622192,537.3585874,508.8110767,526.5078219,531.6921205,535.536612,545.8575342,555.3452055,479.6849315,473.2978142,399.4438356,418.7753425,377.7288219,349.8683716,319.5124434,347.233562,457.6261396,458.1029504,441.4650041,417.6315321,389.458797,
                Crude oil including lease condensate (Mb/d),,,,,,,,,,,,498.8606557,545.2493151,514.2547945,552.0465753,520.0218579,489.4821918,577.0630137,544.9369863,533.7896175,495.8630137,536.1332301,514.3394849,535.0529426,569.8394137,546.0477397,534.8768027,721.2278497,656.7681644,629.2434822,527.4199288,448.4608825,418.8905068,436.3761945,448.6769041,459.3005464,463.6821918,478.5753425,411.3315068,405.3797814,334.5808219,353.3561644,322.3260274,289.7486339,263.2320461,283.6308223,360.6973725,351.1931198,334.4476206,310.9346965,279.6633312,
